task_id,trial,agent,mode,workflow,status,started_at,finished_at,duration_s,exit_code,error,prompt_path,stdout_log,stderr_log,output_path,input_tokens,output_tokens,total_tokens,validation_valid,validation_score,validation_issues,output_exists,output_bytes,output_lines,output_words,model,temperature,seed,max_tokens
trial2__gemini__knowledge__1000genome,2,gemini,knowledge,1000genome,failed_validation,2026-02-27T06:33:09.243826+00:00,2026-02-27T06:35:16.990146+00:00,127.746,0,output_invalid,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial2__gemini__knowledge__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial2__gemini__knowledge__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial2__gemini__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-gemini-trial2.md,,,,False,0.0,file_missing,False,0,0,0,gemini-2.5-pro,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial3__gemini__knowledge__1000genome,3,gemini,knowledge,1000genome,failed_validation,2026-02-27T06:35:16.992794+00:00,2026-02-27T06:37:32.245515+00:00,135.253,0,output_invalid,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial3__gemini__knowledge__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial3__gemini__knowledge__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial3__gemini__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-gemini-trial3.md,,,,False,0.0,file_missing,False,0,0,0,gemini-2.5-pro,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial2__claude__wdd__1000genome,2,claude,wdd,1000genome,failed,2026-02-27T06:37:32.248708+00:00,2026-02-27T06:37:37.040489+00:00,4.792,1,non-zero exit 1,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial2__claude__wdd__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial2__claude__wdd__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial2__claude__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-claude-trial2.yaml,,,,False,0.0,file_missing,False,0,0,0,sonnet-4.6,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial2__claude__knowledge__1000genome,2,claude,knowledge,1000genome,failed,2026-02-27T06:37:37.043681+00:00,2026-02-27T06:37:41.463637+00:00,4.42,1,non-zero exit 1,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial2__claude__knowledge__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial2__claude__knowledge__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial2__claude__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-claude-trial2.md,,,,False,0.0,file_missing,False,0,0,0,sonnet-4.6,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial3__claude__wdd__1000genome,3,claude,wdd,1000genome,failed,2026-02-27T06:37:41.467522+00:00,2026-02-27T06:37:45.929832+00:00,4.462,1,non-zero exit 1,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial3__claude__wdd__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial3__claude__wdd__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial3__claude__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-claude-trial3.yaml,,,,False,0.0,file_missing,False,0,0,0,sonnet-4.6,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial1__claude__wdd__1000genome,1,claude,wdd,1000genome,failed,2026-02-27T06:37:45.933972+00:00,2026-02-27T06:37:51.020518+00:00,5.087,1,non-zero exit 1,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial1__claude__wdd__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial1__claude__wdd__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial1__claude__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-claude-trial1.yaml,,,,False,0.0,file_missing,False,0,0,0,sonnet-4.6,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial3__gemini__wdd__1000genome,3,gemini,wdd,1000genome,failed_validation,2026-02-27T06:37:51.024854+00:00,2026-02-27T06:40:29.522066+00:00,158.497,0,output_invalid,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial3__gemini__wdd__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial3__gemini__wdd__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial3__gemini__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-gemini-trial3.yaml,,,,False,0.0,file_missing,False,0,0,0,gemini-2.5-pro,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial3__claude__knowledge__1000genome,3,claude,knowledge,1000genome,failed,2026-02-27T06:40:29.525695+00:00,2026-02-27T06:40:34.513385+00:00,4.988,1,non-zero exit 1,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial3__claude__knowledge__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial3__claude__knowledge__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial3__claude__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-claude-trial3.md,,,,False,0.0,file_missing,False,0,0,0,sonnet-4.6,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial1__gemini__wdd__1000genome,1,gemini,wdd,1000genome,failed_validation,2026-02-27T06:40:34.517259+00:00,2026-02-27T06:42:26.214054+00:00,111.697,0,output_invalid,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial1__gemini__wdd__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial1__gemini__wdd__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial1__gemini__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-gemini-trial1.yaml,,,,False,0.0,file_missing,False,0,0,0,gemini-2.5-pro,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial2__gemini__wdd__1000genome,2,gemini,wdd,1000genome,failed_validation,2026-02-27T06:42:26.217972+00:00,2026-02-27T06:45:14.239242+00:00,168.021,0,output_invalid,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial2__gemini__wdd__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial2__gemini__wdd__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-003309/trial2__gemini__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-gemini-trial2.yaml,,,,False,0.0,file_missing,False,0,0,0,gemini-2.5-pro,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
