agent,duration_s,error,exit_code,finished_at,input_tokens,max_tokens,mode,model,output_bytes,output_exists,output_lines,output_path,output_tokens,output_words,prompt_path,seed,started_at,status,stderr_log,stdout_log,task_id,temperature,total_tokens,trial,validation_issues,validation_score,validation_valid,workflow
opencode,12.993,output_invalid,0,2026-03-04T15:55:32.403665+00:00,,<SET_MAX_TOKENS>,knowledge,opencode/minimax-m2.5-free,133,True,1,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-opencode-trial2.md,,19,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial2__opencode__knowledge__1000genome.prompt.txt,<SET_SEED>,2026-03-04T15:55:19.410210+00:00,failed_validation,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial2__opencode__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial2__opencode__knowledge__1000genome.stdout.log,trial2__opencode__knowledge__1000genome,<SET_TEMP>,,2,missing_core_terms,0.44,False,1000genome
claude,3.31,non-zero exit 1,1,2026-03-04T15:55:35.716342+00:00,,<SET_MAX_TOKENS>,knowledge,sonnet-4.6-default,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-claude-trial3.md,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial3__claude__knowledge__1000genome.prompt.txt,<SET_SEED>,2026-03-04T15:55:32.406164+00:00,failed,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial3__claude__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial3__claude__knowledge__1000genome.stdout.log,trial3__claude__knowledge__1000genome,<SET_TEMP>,,3,file_missing,0.0,False,1000genome
claude,3.224,non-zero exit 1,1,2026-03-04T15:55:38.943064+00:00,,<SET_MAX_TOKENS>,knowledge,sonnet-4.6-default,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-claude-trial2.md,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial2__claude__knowledge__1000genome.prompt.txt,<SET_SEED>,2026-03-04T15:55:35.719251+00:00,failed,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial2__claude__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial2__claude__knowledge__1000genome.stdout.log,trial2__claude__knowledge__1000genome,<SET_TEMP>,,2,file_missing,0.0,False,1000genome
opencode,7.457,output_invalid,0,2026-03-04T15:55:46.403187+00:00,,<SET_MAX_TOKENS>,knowledge,opencode/minimax-m2.5-free,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-opencode-trial3.md,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial3__opencode__knowledge__1000genome.prompt.txt,<SET_SEED>,2026-03-04T15:55:38.946118+00:00,failed_validation,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial3__opencode__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial3__opencode__knowledge__1000genome.stdout.log,trial3__opencode__knowledge__1000genome,<SET_TEMP>,,3,file_missing,0.0,False,1000genome
opencode,10.603,output_invalid,0,2026-03-04T15:55:57.009712+00:00,,<SET_MAX_TOKENS>,knowledge,opencode/minimax-m2.5-free,135,True,1,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-opencode-trial1.md,,19,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial1__opencode__knowledge__1000genome.prompt.txt,<SET_SEED>,2026-03-04T15:55:46.406236+00:00,failed_validation,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial1__opencode__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial1__opencode__knowledge__1000genome.stdout.log,trial1__opencode__knowledge__1000genome,<SET_TEMP>,,1,missing_core_terms,0.44,False,1000genome
gemini,223.797,,0,2026-03-04T15:59:40.810647+00:00,87113,<SET_MAX_TOKENS>,knowledge,gemini-2.5-flash,5491,True,101,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-gemini-trial3.md,3708,652,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial3__gemini__knowledge__1000genome.prompt.txt,<SET_SEED>,2026-03-04T15:55:57.013186+00:00,ok,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial3__gemini__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial3__gemini__knowledge__1000genome.stdout.log,trial3__gemini__knowledge__1000genome,<SET_TEMP>,97766,3,,0.86,True,1000genome
opencode,300.697,,0,2026-03-04T16:04:41.511751+00:00,,<SET_MAX_TOKENS>,wdd,opencode/minimax-m2.5-free,27688,True,661,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-opencode-trial3.yaml,,2455,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial3__opencode__wdd__1000genome.prompt.txt,<SET_SEED>,2026-03-04T15:59:40.814980+00:00,ok,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial3__opencode__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial3__opencode__wdd__1000genome.stdout.log,trial3__opencode__wdd__1000genome,<SET_TEMP>,,3,,1.0,True,1000genome
claude,3.261,non-zero exit 1,1,2026-03-04T16:04:44.986451+00:00,,<SET_MAX_TOKENS>,wdd,sonnet-4.6-default,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-claude-trial3.yaml,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial3__claude__wdd__1000genome.prompt.txt,<SET_SEED>,2026-03-04T16:04:41.725173+00:00,failed,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial3__claude__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial3__claude__wdd__1000genome.stdout.log,trial3__claude__wdd__1000genome,<SET_TEMP>,,3,file_missing,0.0,False,1000genome
claude,3.176,non-zero exit 1,1,2026-03-04T16:04:48.165636+00:00,,<SET_MAX_TOKENS>,wdd,sonnet-4.6-default,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-claude-trial1.yaml,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial1__claude__wdd__1000genome.prompt.txt,<SET_SEED>,2026-03-04T16:04:44.989772+00:00,failed,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial1__claude__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial1__claude__wdd__1000genome.stdout.log,trial1__claude__wdd__1000genome,<SET_TEMP>,,1,file_missing,0.0,False,1000genome
gemini,148.131,,0,2026-03-04T16:07:16.299658+00:00,137895,<SET_MAX_TOKENS>,knowledge,gemini-2.5-flash,4080,True,64,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-gemini-trial2.md,9173,515,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial2__gemini__knowledge__1000genome.prompt.txt,<SET_SEED>,2026-03-04T16:04:48.169091+00:00,ok,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial2__gemini__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260304-095519/trial2__gemini__knowledge__1000genome.stdout.log,trial2__gemini__knowledge__1000genome,<SET_TEMP>,153713,2,,0.86,True,1000genome
